subtype,hemisphere,year,clade_single,fit_total_escape,fit_predicted_prevalence,fit_mutual_information,fit_dissimilarity_charge_hydro,fit_accessibility_wcn,fit_fitness_eve,fit_antigenic_novelty
H3N2,north,2019,3C.2a1b.1b,1.2216825,0.204575,0.3234555318350263,7.033995668421053,3.6827589,58.47834265263157,14.934370302781362
H3N2,north,2019,3C.2a1b.2,0.2729,0.0906,0.9464285714285714,4.450008,0.7568495000000002,12.9946897,100.36753608492674
H3N2,north,2019,3C.2a2,0.39325,0.0228666666666666,0.0850798334650651,4.7582212,1.7271923000000002,40.00115889999999,18.44259224286415
H3N2,north,2019,3C.2a3,0.3125825,0.2194333333333333,0.2742086306278554,7.849609768421053,3.1599676,43.30491155263157,9.695827052042112
H3N2,north,2019,3C.3a1,1.82042,0.1517571428571428,0.3717615520934111,9.0508729,6.565690600000001,102.39608579999998,152.3173503056524
H3N2,north,2020,3C.2a1b.1,0.13418249999999998,0.065,0.0651102855103799,3.8002045,1.6504209000000003,27.43341,28.44738575359265
H3N2,north,2020,3C.2a1b.1a,1.9801825,0.1989714285714285,0.2887516768307244,16.0717023,5.304113900000002,86.7803937,101.51812923599212
H3N2,north,2020,3C.2a1b.1b,1.9924825,0.2395499999999999,0.3835217307977925,12.703690299999998,5.403167400000001,79.5494674,147.2676241945275
H3N2,north,2020,3C.2a1b.2,0.08098,0.1613,0.2181818181818181,0.7922060999999998,0.8431085000000003,10.541809,6.135106389156204
H3N2,north,2020,3C.2a1b.2a,0.22058,0.2781,0.2712180329730712,6.439735,2.3801389000000004,29.919920999999995,209.55528998138809
H3N2,north,2020,3C.2a1b.2b,0.7240300000000001,0.3830999999999999,0.4783482226540899,9.2032447,2.847532100000001,46.8464041,391.1532674102015
H3N2,north,2020,3C.3a1,2.19075,0.20935,0.6238064539266744,19.8300755,8.708556300000001,126.8851598,339.49663673712234
H3N2,north,2021,3C.2a1b.2a.1a,0.4456,0.2454,0.3561978979675729,2.9527281,1.5887160000000002,27.295470700000003,0.7092633855594577
H3N2,north,2022,3C.2a1b.1a,0.362,0.0838,0.0108108108108108,0.2026573999999998,0.9674226,8.575194999999999,8.07198454840299
H3N2,north,2022,3C.2a1b.2a.2a,0.06055,0.2951999999999999,0.0482758620689655,1.4554484,0.6933625999999997,16.9798887,40.024408641824174
H3N2,north,2022,3C.2a1b.2a.2a.1,0.454,0.45325,0.4899719945049731,4.6661043,1.3133612999999995,20.1600643,215.90854799180516
H3N2,north,2022,3C.2a1b.2a.2a.1a,0.7668,0.416275,0.646223643691226,5.6978145,3.0091139999999994,41.19903479999999,1429.5199205613274
H3N2,north,2022,3C.2a1b.2a.2a.2,0.63391,0.0801,0.2813225474321142,2.1002673,1.7916690999999996,31.5188287,316.91075688949394
H3N2,north,2022,3C.2a1b.2a.2a.3,0.7291599999999999,0.2253666666666666,0.5502158917753022,2.6713926,3.157009699999999,45.1304617,959.2073147900855
H3N2,north,2022,3C.2a1b.2a.2c,0.85595,0.0029,0.1090368797848036,2.3581949,0.5178028999999995,18.6251219,74.34663208535125
H3N2,north,2023,3C.2a1b.1a,0.13418249999999998,0.09545,0.0006589572697746,3.8002045,1.6480892,29.931428,7.08939330812617
H3N2,north,2023,3C.2a1b.2a.1a,0.96102,0.10776,0.1041503781145025,9.1529588,3.8701736,74.93457269999999,45.063092574168536
H3N2,north,2023,3C.2a1b.2a.2a.1,0.12148250000000001,0.1424,0.0169184407604842,0.9027464999999996,1.5581793,25.098755999999995,50.88094745807553
H3N2,north,2023,3C.2a1b.2a.2a.1b,0.05964,0.2794,0.9809941520467836,1.2712145,0.2837129999999999,13.1742864,777.100672128194
H3N2,north,2023,3C.2a1b.2a.2a.3,0.3944825,0.099,0.0126986561221462,4.1502491,1.7069264,29.4858408,41.32366901654691
H3N2,north,2023,3C.2a1b.2a.2a.3a.1,0.30569999999999997,0.1906,0.9525065963060686,3.7265109,1.3605369,26.4160471,496.93424648278057
H3N2,north,2023,3C.2a1b.2a.2a.3b,0.0,0.1023,0.9411764705882352,4.2792129,1.0192951,15.8772893,52.49685984974722
H3N2,north,2023,3C.2a1b.2a.2b,0.4292,0.1616,0.9439252336448598,6.8634732,1.9952579,47.3048415,647.8799935555802
H3N2,north,2024,3C.2a1b.2a.2a.3a.1,0.46531,0.0894,0.9807692307692308,1.0132868,1.6379696,20.7145693,140.16420159481655
H3N2,south,2013,3C.2,0.85096,0.22045,0.9444444444444444,10.253720294736842,3.1661598,56.18380814210526,0.0
H3N2,south,2013,3C.3a,0.71706,0.1535833333333333,1.0,9.9401804,3.9615516,64.2562548,0.0
